Brand Number,Extended Length (in.),Compressed Length (in),Tube Dia (mm),Rod Dia (mm),Extension Force (N),Extension Force (lb),Rod End Fitting,Tube End Fitting
68-3938LA,7.50,5.50,15.00,6.00,89.00,20.00,Ball Socket 10mm,Ball Socket 10mm
6B-3939LW,7.50,5.50,15.00,6.00,178.00,32.00,Ball Socket 10mm,Ball Socket 10mm
6B-4146LZ,7.50,5.50,18.00,8.00,350.00,79.00,Ball Socket 10mm,Ball Socket 10mm
68-993049,7.50,4.40,15.00,6.00,340.00,76.00,Ball Socket 10mm,Ball Socket 10mm
28-83460N,7.50,5.20,15.00,6.00,145.00,33.00,Ball Socket 10mm,Ball Socket 10mm
4B-1623EP,9.58,6.48,19.00,8.00,280.00,63.00,Ball Socket 13mm,Ball Socket 13mm
58-5171KB,10.00,7.00,18.00,8.00,278.00,63.00,Metal Blade 10mm,Metal Blade 10mm
5B-5218KW,10.00,7.00,18.00,8.00,98.00,22.00,Metal Blade 10mm,Metal Blade 10mm
5B5172KX-,10.00,7.00,18.00,8.00,367.00,83.00,Metal Blade 10mm,Metal Blade 10mm
5B-3995LG,10.00,7.00,18.00,8.00,179.00,40.00,Ball Socket 10mm,Ball Socket 10mm
58-982053,10.00,6.75,18.00,8.00,280.00,63.00,Ball Socket 10mm,Ball Socket 10mm
5B-753329,10.00,6.85,19.00,8.00,355.00,80.00,Ball Socket 10mm,Ball Socket 10mm
5B-332930,10.00,5.75,19.00,8.00,760.00,171.00,Ball Socket 10mm,Ball Socket 10mm
5B-990420,10.00,5.60,15.00,6.00,215.00,48.00,Ball Socket 10mm,Ball Socket 10mm
5B-990659,10.00,5.60,15.00,6.00,369.00,83.00,Ball Socket 10mm,Ball Socket 10mm
5B-753568,11.00,7.20,19.00,8.00,155.00,35.00,Ball Socket 10mm,Ball Socket 10mm
5B-754046,11.00,7.05,18.00,8.00,110.00,25.00,Ball Socket 10mm,Ball Socket 10mm
5B-986835,11.00,6.20,15.00,6.00,135.00,30.00,Ball Socket 10mm,Ball Socket 10mm
5B-991854,11.00,6.20,15.00,6.00,160.00,36.00,Ball Socket 10mm,Ball Socket 10mm
5B-992093,11.00,7.05,15.00,6.00,340.00,76.00,Ball Socket 10mm,Ball Socket 10mm
5B-440287,11.30,9.40,15.00,6.00,130.00,30.00,Metal Blade 6mm,Metal Blade 6mm
58-8498IZ,12.00,8.50,18.00,8.00,118.00,27.00,Ball Socket 10mm,Ball Socket 10mm
58-8427IS,12.00,8.50,18.00,8.00,241.00,54.00,Ball Socket 10mm,Ball Socket 10mm
58-994722,12.00,6.60,15.00,6.00,190.00,43.00,Ball Socket 10mm,Ball Socket 10mm
5B-779905,12.00,7.60,18.00,8.00,270.00,60.00,Ball Socket 10mm,Ball Socket 10mm
58-754524,12.50,8.40,19.00,8.00,155.00,35.00,Ball Socket 10mm,Ball Socket 10mm
5B-76820X,12.50,7.65,15.00,6.00,300.00,67.00,Ball Socket 10mm,Ball Socket 10mm
5B-740423,12.75,8.10,18.00,8.00,135.00,30.00,Ball Socket 10mm,Ball Socket 10mm
5B-681198,13.00,8.00,15.00,6.00,110.00,25.00,Ball Socket 10mm,Ball Socket 10mm
